orthoID	genes
OG63_0	ABHD16A,ABHD16A_B,ABHD16A_C,ABHD16A_D,ABHD16A_E,ABHD16A_F,ABHD16A_G,ABHD16A_H,ABHD16A_I,ABHD16A_J,ABHD16A_K,ABHD16A_L,ABHD16A_M,ABHD16A_N,ABHD16A_O,ABHD16A_P,ABHD16A_Q,ABHD16A_R,ABHD16A_S,ABHD16A_T
OG64_0	ABHD2,ABHD2_B,ABHD2_C,ABHD2_D,ABHD2_E,ABHD2_F,ABHD2_G,ABHD2_H,ABHD2_I,ABHD2_J,ABHD2_K,ABHD2_L,ABHD2_M,ABHD2_N,ABHD2_O,ABHD2_P,ABHD2_Q,ABHD2_R,ABHD2_S,ABHD2_T
OG65_0	ABHD3,ABHD3_B,ABHD3_C,ABHD3_D,ABHD3_E,ABHD3_F,ABHD3_G,ABHD3_H,ABHD3_I,ABHD3_J,ABHD3_K,ABHD3_L,ABHD3_M,ABHD3_N,ABHD3_O,ABHD3_P,ABHD3_Q,ABHD3_R,ABHD3_S,ABHD3_T
OG66_0	ABHD4,ABHD4_B,ABHD4_C,ABHD4_D,ABHD4_E,ABHD4_F,ABHD4_G,ABHD4_H,ABHD4_I,ABHD4_J,ABHD4_K,ABHD4_L,ABHD4_M,ABHD4_N,ABHD4_O,ABHD4_P,ABHD4_Q,ABHD4_R,ABHD4_S,ABHD4_T
OG67_0	ABHD5,ABHD5_B,ABHD5_C,ABHD5_D,ABHD5_E,ABHD5_F,ABHD5_G,ABHD5_H,ABHD5_I,ABHD5_J,ABHD5_K,ABHD5_L,ABHD5_M,ABHD5_N,ABHD5_O,ABHD5_P,ABHD5_Q,ABHD5_R,ABHD5_S,ABHD5_T
OG68_0	ABHD6,ABHD6_B,ABHD6_C,ABHD6_D,ABHD6_E,ABHD6_F,ABHD6_G,ABHD6_H,ABHD6_I,ABHD6_J,ABHD6_K,ABHD6_L,ABHD6_M,ABHD6_N,ABHD6_O,ABHD6_P,ABHD6_Q,ABHD6_R,ABHD6_S,ABHD6_T
OG69_0	ABHD8,ABHD8_B,ABHD8_C,ABHD8_D,ABHD8_E,ABHD8_F,ABHD8_G,ABHD8_H,ABHD8_I,ABHD8_J,ABHD8_K,ABHD8_L,ABHD8_M,ABHD8_N,ABHD8_O,ABHD8_P,ABHD8_Q,ABHD8_R,ABHD8_S,ABHD8_T
OG70_0	ABI1,ABI1_B,ABI1_C,ABI1_D,ABI1_E,ABI1_F,ABI1_G,ABI1_H,ABI1_I,ABI1_J,ABI1_K,ABI1_L,ABI1_M,ABI1_N,ABI1_O,ABI1_P,ABI1_Q,ABI1_R,ABI1_S,ABI1_T
OG71_0	ABI2,ABI2_B,ABI2_C,ABI2_D,ABI2_E,ABI2_F,ABI2_G,ABI2_H,ABI2_I,ABI2_J,ABI2_K,ABI2_L,ABI2_M,ABI2_N,ABI2_O,ABI2_P,ABI2_Q,ABI2_R,ABI2_S,ABI2_T
OG72_0	ABL1,ABL1_B,ABL1_C,ABL1_D,ABL1_E,ABL1_F,ABL1_G,ABL1_H,ABL1_I,ABL1_J,ABL1_K,ABL1_L,ABL1_M,ABL1_N,ABL1_O,ABL1_P,ABL1_Q,ABL1_R,ABL1_S,ABL1_T
OG73_0	ABL2,ABL2_B,ABL2_C,ABL2_D,ABL2_E,ABL2_F,ABL2_G,ABL2_H,ABL2_I,ABL2_J,ABL2_K,ABL2_L,ABL2_M,ABL2_N,ABL2_O,ABL2_P,ABL2_Q,ABL2_R,ABL2_S,ABL2_T
OG74_0	ABLIM1,ABLIM1_B,ABLIM1_C,ABLIM1_D,ABLIM1_E,ABLIM1_F,ABLIM1_G,ABLIM1_H,ABLIM1_I,ABLIM1_J,ABLIM1_K,ABLIM1_L,ABLIM1_M,ABLIM1_N,ABLIM1_O,ABLIM1_P,ABLIM1_Q,ABLIM1_R,ABLIM1_S,ABLIM1_T
OG75_0	ABLIM2,ABLIM2_B,ABLIM2_C,ABLIM2_D,ABLIM2_E,ABLIM2_F,ABLIM2_G,ABLIM2_H,ABLIM2_I,ABLIM2_J,ABLIM2_K,ABLIM2_L,ABLIM2_M,ABLIM2_N,ABLIM2_O,ABLIM2_P,ABLIM2_Q,ABLIM2_R,ABLIM2_S,ABLIM2_T
OG76_0	ABLIM3,ABLIM3_B,ABLIM3_C,ABLIM3_D,ABLIM3_E,ABLIM3_F,ABLIM3_G,ABLIM3_H,ABLIM3_I,ABLIM3_J,ABLIM3_K,ABLIM3_L,ABLIM3_M,ABLIM3_N,ABLIM3_O,ABLIM3_P,ABLIM3_Q,ABLIM3_R,ABLIM3_S,ABLIM3_T
OG77_0	ABO,ABO_B,ABO_C,ABO_D,ABO_E,ABO_F,ABO_G,ABO_H,ABO_I,ABO_J,ABO_K,ABO_L,ABO_M,ABO_N,ABO_O,ABO_P,ABO_Q,ABO_R,ABO_S,ABO_T
OG78_0	ABP1,ABP1_B,ABP1_C,ABP1_D,ABP1_E,ABP1_F,ABP1_G,ABP1_H,ABP1_I,ABP1_J,ABP1_K,ABP1_L,ABP1_M,ABP1_N,ABP1_O,ABP1_P,ABP1_Q,ABP1_R,ABP1_S,ABP1_T
OG79_0	ABR,ABR_B,ABR_C,ABR_D,ABR_E,ABR_F,ABR_G,ABR_H,ABR_I,ABR_J,ABR_K,ABR_L,ABR_M,ABR_N,ABR_O,ABR_P,ABR_Q,ABR_R,ABR_S,ABR_T
OG80_0	ABRACL,ABRACL_B,ABRACL_C,ABRACL_D,ABRACL_E,ABRACL_F,ABRACL_G,ABRACL_H,ABRACL_I,ABRACL_J,ABRACL_K,ABRACL_L,ABRACL_M,ABRACL_N,ABRACL_O,ABRACL_P,ABRACL_Q,ABRACL_R,ABRACL_S,ABRACL_T
OG81_0	ABT1,ABT1_B,ABT1_C,ABT1_D,ABT1_E,ABT1_F,ABT1_G,ABT1_H,ABT1_I,ABT1_J,ABT1_K,ABT1_L,ABT1_M,ABT1_N,ABT1_O,ABT1_P,ABT1_Q,ABT1_R,ABT1_S,ABT1_T
OG82_0	ABTB1,ABTB1_B,ABTB1_C,ABTB1_D,ABTB1_E,ABTB1_F,ABTB1_G,ABTB1_H,ABTB1_I,ABTB1_J,ABTB1_K,ABTB1_L,ABTB1_M,ABTB1_N,ABTB1_O,ABTB1_P,ABTB1_Q,ABTB1_R,ABTB1_S,ABTB1_T
OG83_0	ABTB2,ABTB2_B,ABTB2_C,ABTB2_D,ABTB2_E,ABTB2_F,ABTB2_G,ABTB2_H,ABTB2_I,ABTB2_J,ABTB2_K,ABTB2_L,ABTB2_M,ABTB2_N,ABTB2_O,ABTB2_P,ABTB2_Q,ABTB2_R,ABTB2_S,ABTB2_T
OG84_0	ACAA1,ACAA1_B,ACAA1_C,ACAA1_D,ACAA1_E,ACAA1_F,ACAA1_G,ACAA1_H,ACAA1_I,ACAA1_J,ACAA1_K,ACAA1_L,ACAA1_M,ACAA1_N,ACAA1_O,ACAA1_P,ACAA1_Q,ACAA1_R,ACAA1_S,ACAA1_T
OG85_0	ACAA2,ACAA2_B,ACAA2_C,ACAA2_D,ACAA2_E,ACAA2_F,ACAA2_G,ACAA2_H,ACAA2_I,ACAA2_J,ACAA2_K,ACAA2_L,ACAA2_M,ACAA2_N,ACAA2_O,ACAA2_P,ACAA2_Q,ACAA2_R,ACAA2_S,ACAA2_T
OG86_0	ACACA,ACACA_B,ACACA_C,ACACA_D,ACACA_E,ACACA_F,ACACA_G,ACACA_H,ACACA_I,ACACA_J,ACACA_K,ACACA_L,ACACA_M,ACACA_N,ACACA_O,ACACA_P,ACACA_Q,ACACA_R,ACACA_S,ACACA_T
OG87_0	ACACB,ACACB_B,ACACB_C,ACACB_D,ACACB_E,ACACB_F,ACACB_G,ACACB_H,ACACB_I,ACACB_J,ACACB_K,ACACB_L,ACACB_M,ACACB_N,ACACB_O,ACACB_P,ACACB_Q,ACACB_R,ACACB_S,ACACB_T
